package name,reviewer name,review,rating
com.playsmusi.tubi2,Karis / Yumeko,I gave three stars because it's a ok app but not the best app I don't know I really don't know,3
com.playsmusi.tubi2,Gopal Mohapatra,This is a good app.Like You tube.,5
com.playsmusi.tubi2,Abdul Hadi,Very bad,5
com.playsmusi.tubi2,Arjun Lal,This app is very good i like very much,4
com.playsmusi.tubi2,Tayyba Jutt,Good,5
com.playsmusi.tubi2,Tiffany Porchiazzo,❤️❤️❤️❤️❤️❤️❤️Lovely❤️❤️❤️❤️❤️❤️❤️,5
com.playsmusi.tubi2,Suresh joshi,good app,5
com.playsmusi.tubi2,raja muthukrishnan,Ok,5
com.playsmusi.tubi2,Jill Scarboro,Perfect,5
com.playsmusi.tubi2,Anil Putcha,Good,4
com.playsmusi.tubi2,Demongodx godx,nice,5
com.playsmusi.tubi2,Asha Merlin,Good,5
com.playsmusi.tubi2,Yuvrajsoni Soni,Ok,4
com.playsmusi.tubi2,Esha Yasmeen,Good,5
com.playsmusi.tubi2,Ashish John,AShishJohn1981,5
com.playsmusi.tubi2,fred sax,Good,5
com.playsmusi.tubi2,Akshaya G,Nice app,5
com.playsmusi.tubi2,Pavan Yadav,PAvan yadav.,4
com.playsmusi.tubi2,susan susan,Nice,5
com.playsmusi.tubi2,Byambasanjaa Naidandorj,nod,1
com.playsmusi.tubi2,Rajesh Netta,Good app 😊😀😁😎,4
com.playsmusi.tubi2,Thilaga meena,Ok,5
com.playsmusi.tubi2,jisha Augustine,It was good i guess....,4
com.playsmusi.tubi2,S ARIPRASATH DTEd BA,Good,4
com.playsmusi.tubi2,USMAN FAREED,Very good,5
com.playsmusi.tubi2,Amein Hussein,This youtube is fun you know it will get beter,5
com.playsmusi.tubi2,Barathi .K,Good,5
com.playsmusi.tubi2,Black Velvet,"Yes,that's is awesome. I just like it too much....... That's the app what i needed🙂🙂😊😊😌😌☺️☺️😁😁😃😃.....",5
com.playsmusi.tubi2,Jawad Ahmad,Good,1
com.playsmusi.tubi2,Italo Bmaroli,Fantastic,5
com.playsmusi.tubi2,Bruce Zavirima,Nice,5
com.playsmusi.tubi2,Boyong David,Nice and easy to use,5
com.playsmusi.tubi2,Kapil assamese Vlog's,Good,5
com.playsmusi.tubi2,Faisal Feroke,Eydrj,1
com.playsmusi.tubi2,Alzeen 92,Wariqinashii Diribaa,1
com.playsmusi.tubi2,Yvnghomie Fan,A ga,5
com.playsmusi.tubi2,rawalpindi property,Not good,1
com.playsmusi.tubi2,theinkspot67,Well I think it's super great although you guys think it's not but I think it is that's why I give it 5 stars,5
com.playsmusi.tubi2,Art Lab,So so so so so so so so good app thank u play store,5
com.playsmusi.tubi2,Genesis jordan,So when I want me to watch some video I tip in and it took me out so do something about it ok,4
com.playsmusi.tubi2,Savita Dsouza,Superb app,5
com.playsmusi.tubi2,Mary Ote,Good,5
com.playsmusi.tubi2,Prateek Mishra,I love it 😘😘🤩😍🥰,5
com.playsmusi.tubi2,Gulshan Yadav,Niceee tot,5
com.playsmusi.tubi2,Tariq Mahmood bibi,Good,4
com.playsmusi.tubi2,Jismi Joya,Good,5
com.playsmusi.tubi2,Nivetha Sabari,Good,5
com.playsmusi.tubi2,mansoor shariff,Very good Service,5
com.playsmusi.tubi2,Priti Mondal,Smriti mondal,1
com.playsmusi.tubi2,Kumari Tamang,Kushalblon,1
com.playsmusi.tubi2,Abdul Salam,Not good,5
com.playsmusi.tubi2,Mithu sk SohelSk,S boss sohel open,5
com.playsmusi.tubi2,Angam Chalak,God bless the person who made this app this app is so good excellent anyone who is reading my I message plays by this app this is just like a real YouTube.,5
com.playsmusi.tubi2,Helen Bassey,Too many ads.,1
com.playsmusi.tubi2,Ziyanda Mankayi,It's a very good app.,5
com.playsmusi.tubi2,Pearl Mutya Abellar,Mutya,1
com.playsmusi.tubi2,Pratik Tajne,Good,1
com.playsmusi.tubi2,Kalia Rana,LOL MADAERCHATA,1
com.playsmusi.tubi2,Sonia Lane,Happy 😁😁😁,5
com.playsmusi.tubi2,Ms Scott,It's good,5
com.playsmusi.tubi2,B,I like the app but the thing is is that it won't let you skip ahead 10 or more seconds,1
com.playsmusi.tubi2,Bright L.T Chambas,Good,1
com.playsmusi.tubi2,Santosh Swain,Very nice,4
com.playsmusi.tubi2,Beverly Namawejje,I like ot because videos don't stop when you're watching but I would like it if you could download videos from it .,4
com.playsmusi.tubi2,DIVYA BS,ILove play tube please make update,5
com.playsmusi.tubi2,Ephantus Kariithi,Good,5
com.playsmusi.tubi2,Sisanda Nombika,The thing make download this app it because I want to play asong I loved,3
com.playsmusi.tubi2,Xavier Mcpheeters,This app is the best!,5
